date,month,day_of_year,mango_stage,stage_description,water_sensitivity,heat_sensitivity,disease_sensitivity,recommended_monitoring_focus
2025-05-04,5,124,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-05,5,125,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-06,5,126,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-07,5,127,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-08,5,128,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-09,5,129,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-10,5,130,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-11,5,131,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-12,5,132,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-13,5,133,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-14,5,134,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-15,5,135,Fruit development,Retained fruit are actively growing in size; this stage drives most of the season's final yield and fruit quality.,High,High,Low,Prioritize consistent irrigation scheduling and monitor for peak summer heat stress affecting fruit sizing.
2025-05-16,5,136,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-17,5,137,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-18,5,138,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-19,5,139,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-20,5,140,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-21,5,141,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-22,5,142,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-23,5,143,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-24,5,144,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-25,5,145,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-26,5,146,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-27,5,147,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-28,5,148,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-29,5,149,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-30,5,150,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-05-31,5,151,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-01,6,152,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-02,6,153,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-03,6,154,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-04,6,155,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-05,6,156,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-06,6,157,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-07,6,158,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-08,6,159,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-09,6,160,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-10,6,161,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-11,6,162,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-12,6,163,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-13,6,164,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-14,6,165,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-15,6,166,Maturity / harvest,Fruit are reaching full size and ripening; harvest typically occurs during this window.,Medium,Medium,Low,Track fruit maturity indicators and plan harvest timing; avoid water stress that could affect final fruit quality.
2025-06-16,6,167,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-17,6,168,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-18,6,169,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-19,6,170,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-20,6,171,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-21,6,172,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-22,6,173,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-23,6,174,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-24,6,175,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-25,6,176,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-26,6,177,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-27,6,178,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-28,6,179,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-29,6,180,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-06-30,6,181,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-01,7,182,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-02,7,183,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-03,7,184,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-04,7,185,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-05,7,186,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-06,7,187,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-07,7,188,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-08,7,189,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-09,7,190,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-10,7,191,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-11,7,192,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-12,7,193,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-13,7,194,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-14,7,195,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-15,7,196,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-16,7,197,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-17,7,198,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-18,7,199,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-19,7,200,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-20,7,201,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-21,7,202,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-22,7,203,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-23,7,204,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-24,7,205,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-25,7,206,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-26,7,207,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-27,7,208,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-28,7,209,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-29,7,210,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-30,7,211,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-07-31,7,212,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-01,8,213,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-02,8,214,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-03,8,215,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-04,8,216,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-05,8,217,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-06,8,218,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-07,8,219,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-08,8,220,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-09,8,221,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-10,8,222,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-11,8,223,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-12,8,224,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-13,8,225,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-14,8,226,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-15,8,227,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-16,8,228,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-17,8,229,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-18,8,230,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-19,8,231,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-20,8,232,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-21,8,233,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-22,8,234,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-23,8,235,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-24,8,236,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-25,8,237,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-26,8,238,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-27,8,239,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-28,8,240,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-29,8,241,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-30,8,242,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-08-31,8,243,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-09-01,9,244,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-09-02,9,245,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-09-03,9,246,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-09-04,9,247,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-09-05,9,248,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
2025-09-06,9,249,Rest / vegetative phase,Post-harvest recovery and vegetative growth (new shoots/leaves); the tree is rebuilding reserves for the next flowering cycle.,Low,Low,Medium,Monitor vegetative flush health and watch for monsoon-season fungal/bacterial disease pressure.
